algoritmo,distribucion,tamaño,repeticion,tiempo_ms
Seleccion,aleatorio,100,1,0.101000
Seleccion,aleatorio,100,2,0.034000
Seleccion,aleatorio,100,3,0.033000
MergeSort,aleatorio,100,1,0.026000
MergeSort,aleatorio,100,2,0.024000
MergeSort,aleatorio,100,3,0.034000
CountingSort,aleatorio,100,1,0.015000
CountingSort,aleatorio,100,2,0.013000
CountingSort,aleatorio,100,3,0.013000
TimSort,aleatorio,100,1,0.016000
TimSort,aleatorio,100,2,0.015000
TimSort,aleatorio,100,3,0.013000
Seleccion,ordenado,100,1,0.029000
Seleccion,ordenado,100,2,0.030000
Seleccion,ordenado,100,3,0.030000
MergeSort,ordenado,100,1,0.019000
MergeSort,ordenado,100,2,0.018000
MergeSort,ordenado,100,3,0.018000
CountingSort,ordenado,100,1,0.008000
CountingSort,ordenado,100,2,0.007000
CountingSort,ordenado,100,3,0.007000
TimSort,ordenado,100,1,0.007000
TimSort,ordenado,100,2,0.007000
TimSort,ordenado,100,3,0.007000
Seleccion,reverso,100,1,0.032000
Seleccion,reverso,100,2,0.032000
Seleccion,reverso,100,3,0.032000
MergeSort,reverso,100,1,0.019000
MergeSort,reverso,100,2,0.019000
MergeSort,reverso,100,3,0.018000
CountingSort,reverso,100,1,0.007000
CountingSort,reverso,100,2,0.007000
CountingSort,reverso,100,3,0.007000
TimSort,reverso,100,1,0.017000
TimSort,reverso,100,2,0.017000
TimSort,reverso,100,3,0.016000
Seleccion,casi,100,1,0.029000
Seleccion,casi,100,2,0.030000
Seleccion,casi,100,3,0.030000
MergeSort,casi,100,1,0.021000
MergeSort,casi,100,2,0.040000
MergeSort,casi,100,3,0.020000
CountingSort,casi,100,1,0.008000
CountingSort,casi,100,2,0.007000
CountingSort,casi,100,3,0.007000
TimSort,casi,100,1,0.010000
TimSort,casi,100,2,0.009000
TimSort,casi,100,3,0.009000
Seleccion,duplicados,100,1,0.031000
Seleccion,duplicados,100,2,0.031000
Seleccion,duplicados,100,3,0.031000
MergeSort,duplicados,100,1,0.023000
MergeSort,duplicados,100,2,0.022000
MergeSort,duplicados,100,3,0.022000
CountingSort,duplicados,100,1,0.007000
CountingSort,duplicados,100,2,0.007000
CountingSort,duplicados,100,3,0.006000
TimSort,duplicados,100,1,0.012000
TimSort,duplicados,100,2,0.012000
TimSort,duplicados,100,3,0.012000
Seleccion,aleatorio,200,1,0.117000
Seleccion,aleatorio,200,2,0.116000
Seleccion,aleatorio,200,3,0.123000
MergeSort,aleatorio,200,1,0.047000
MergeSort,aleatorio,200,2,0.047000
MergeSort,aleatorio,200,3,0.047000
CountingSort,aleatorio,200,1,0.017000
CountingSort,aleatorio,200,2,0.016000
CountingSort,aleatorio,200,3,0.016000
TimSort,aleatorio,200,1,0.028000
TimSort,aleatorio,200,2,0.029000
TimSort,aleatorio,200,3,0.027000
Seleccion,ordenado,200,1,0.107000
Seleccion,ordenado,200,2,0.107000
Seleccion,ordenado,200,3,0.106000
MergeSort,ordenado,200,1,0.036000
MergeSort,ordenado,200,2,0.035000
MergeSort,ordenado,200,3,0.035000
CountingSort,ordenado,200,1,0.020000
CountingSort,ordenado,200,2,0.011000
CountingSort,ordenado,200,3,0.010000
TimSort,ordenado,200,1,0.013000
TimSort,ordenado,200,2,0.012000
TimSort,ordenado,200,3,0.012000
Seleccion,reverso,200,1,0.113000
Seleccion,reverso,200,2,0.113000
Seleccion,reverso,200,3,0.113000
MergeSort,reverso,200,1,0.037000
MergeSort,reverso,200,2,0.036000
MergeSort,reverso,200,3,0.036000
CountingSort,reverso,200,1,0.011000
CountingSort,reverso,200,2,0.010000
CountingSort,reverso,200,3,0.010000
TimSort,reverso,200,1,0.033000
TimSort,reverso,200,2,0.031000
TimSort,reverso,200,3,0.032000
Seleccion,casi,200,1,0.107000
Seleccion,casi,200,2,0.116000
Seleccion,casi,200,3,0.107000
MergeSort,casi,200,1,0.041000
MergeSort,casi,200,2,0.040000
MergeSort,casi,200,3,0.040000
CountingSort,casi,200,1,0.011000
CountingSort,casi,200,2,0.010000
CountingSort,casi,200,3,0.010000
TimSort,casi,200,1,0.019000
TimSort,casi,200,2,0.018000
TimSort,casi,200,3,0.018000
Seleccion,duplicados,200,1,0.109000
Seleccion,duplicados,200,2,0.110000
Seleccion,duplicados,200,3,0.110000
MergeSort,duplicados,200,1,0.044000
MergeSort,duplicados,200,2,0.043000
MergeSort,duplicados,200,3,0.047000
CountingSort,duplicados,200,1,0.009000
CountingSort,duplicados,200,2,0.009000
CountingSort,duplicados,200,3,0.009000
TimSort,duplicados,200,1,0.025000
TimSort,duplicados,200,2,0.024000
TimSort,duplicados,200,3,0.024000
Seleccion,aleatorio,300,1,0.252000
Seleccion,aleatorio,300,2,0.255000
Seleccion,aleatorio,300,3,0.247000
MergeSort,aleatorio,300,1,0.076000
MergeSort,aleatorio,300,2,0.073000
MergeSort,aleatorio,300,3,0.072000
CountingSort,aleatorio,300,1,0.020000
CountingSort,aleatorio,300,2,0.019000
CountingSort,aleatorio,300,3,0.018000
TimSort,aleatorio,300,1,0.044000
TimSort,aleatorio,300,2,0.045000
TimSort,aleatorio,300,3,0.045000
Seleccion,ordenado,300,1,0.234000
Seleccion,ordenado,300,2,0.233000
Seleccion,ordenado,300,3,0.233000
MergeSort,ordenado,300,1,0.056000
MergeSort,ordenado,300,2,0.054000
MergeSort,ordenado,300,3,0.063000
CountingSort,ordenado,300,1,0.015000
CountingSort,ordenado,300,2,0.014000
CountingSort,ordenado,300,3,0.014000
TimSort,ordenado,300,1,0.020000
TimSort,ordenado,300,2,0.019000
TimSort,ordenado,300,3,0.020000
Seleccion,reverso,300,1,0.247000
Seleccion,reverso,300,2,0.247000
Seleccion,reverso,300,3,0.247000
MergeSort,reverso,300,1,0.063000
MergeSort,reverso,300,2,0.054000
MergeSort,reverso,300,3,0.054000
CountingSort,reverso,300,1,0.015000
CountingSort,reverso,300,2,0.015000
CountingSort,reverso,300,3,0.015000
TimSort,reverso,300,1,0.049000
TimSort,reverso,300,2,0.048000
TimSort,reverso,300,3,0.049000
Seleccion,casi,300,1,0.234000
Seleccion,casi,300,2,0.234000
Seleccion,casi,300,3,0.243000
MergeSort,casi,300,1,0.063000
MergeSort,casi,300,2,0.064000
MergeSort,casi,300,3,0.062000
CountingSort,casi,300,1,0.014000
CountingSort,casi,300,2,0.014000
